All ingredients in cryoprotective solution,DMSO usage,Cooling rate,Viability,Recovery,Doubling time,Comments about method,Comments about results,Source (DOI link),Protective protein type,Protective protein concentration,Non-reducing sugar type,Non-reducing sugar concentration,PEG weight,PEG concentration,Alternative CPA type,Alternative CPA concentration,Basal medium,Source
⍺-MEM 20% FBS + 5% DMSO,5%,"Nonprogrammed: -20°C for 20 mins, followed by -80°C for 12-16h and then stored in liquid nitrogen ",87%,Not reported ,30 ± 4 hours ,"post-thaw: trypan blue viability, RT-PCR (Oct4/Nanog), flow cytometry (CD markers), differentiation (osteo/adipo/chondro) assays","The study conducted the experiments using 2 different freezing protocols (programmed and non-programmed), since there was no significant difference in the results, nonprogrammed is recommeded due to its ease. Though glycerol showed lower viability compared to DMSO, it is still viable for cell cultures, stemness was preserved and no toxicity.",10.1155/2012/649353,Human Amniotic Fluid stem cells ,,,,,,,,,
⍺-MEM 20% FBS + 10% DMSO,10%,"Nonprogrammed: -20°C for 20 mins, followed by -80°C for 12-16h and then stored in liquid nitrogen ",95%,Not reported ,30 ± 4 hours ,,,10.1155/2012/649353,,,,,,,,,,
⍺-MEM 20% FBS + 5% Glycerol,0%,"Nonprogrammed: -20°C for 20 mins, followed by -80°C for 12-16h and then stored in liquid nitrogen ",78%,Not reported ,30 ± 4 hours ,,,10.1155/2012/649353,,,,,,,,,,
⍺-MEM 20% FBS + 10% Glycerol,0%,"Nonprogrammed: -20°C for 20 mins, followed by -80°C for 12-16h and then stored in liquid nitrogen ",83%,Not reported ,30 ± 4 hours ,,,10.1155/2012/649353,,,,,,,,,,
⍺-MEM 20% FBS + 30 mM Sucrose,0%,"Nonprogrammed: -20°C for 20 mins, followed by -80°C for 12-16h and then stored in liquid nitrogen ",21%,Not reported ,30 ± 4 hours ,,,10.1155/2012/649353,,,,,,,,,,
⍺-MEM 20% FBS + 60 mM Sucrose,0%,"Nonprogrammed: -20°C for 20 mins, followed by -80°C for 12-16h and then stored in liquid nitrogen ",28%,Not reported ,30 ± 4 hours ,,,10.1155/2012/649353,,,,,,,,,,
⍺-MEM 20% FBS + 60 mM Trehalose,0%,"Nonprogrammed: -20°C for 20 mins, followed by -80°C for 12-16h and then stored in liquid nitrogen ",36%,Not reported ,30 ± 4 hours ,,,10.1155/2012/649353,,,,,,,,,,
⍺-MEM 20% FBS + 100 mM Trehalose ,0%,"Nonprogrammed: -20°C for 20 mins, followed by -80°C for 12-16h and then stored in liquid nitrogen ",38%,Not reported ,30 ± 4 hours ,,,10.1155/2012/649353,,,,,,,,,,
10% DMSO in A-DMEM + 10% FBS ,10%,1°C/min  to −80°C,29.70%,Same proliferation curve as fresh,Not reported,PI staining for dead cells and Hoechst staining for all cells to assess viability. MTT assays carried out for cell proliferation after cryopreservation and compared with fresh. ,"Cocktail solution in programmed cooling showed highest viability, similar cell proliferation as fresh cells and stemness maintained. ",10.1002/term.1945,Human dental follicle stem cells,,,,,,,,,
"0.05 M glucose, 0.05 M sucrose, 1.5M ethylene glycol in PBS",0%,1°C/min  to −80°C,32.70%,Same proliferation curve as fresh,Not reported,,,10.1002/term.1945,,,,,,,,,,
10% DMSO in A-DMEM + 10% FBS ,10%,Equilibrate at 1°C for 30 min Cool at −2°C/min to −9°C Hold at −9°C to −9.1°C for 5 min Cool at −0.3°C/min to −40°C Cool at −10°C/min to −140°C,35.30%,Same proliferation curve as fresh,Not reported,,,10.1002/term.1945,,,,,,,,,,
"0.05 M glucose, 0.05 M sucrose, 1.5M ethylene glycol in PBS",0%,Equilibrate at 1°C for 30 min Cool at −2°C/min to −9°C Hold at −9°C to −9.1°C for 5 min Cool at −0.3°C/min to −40°C Cool at −10°C/min to −140°C,79.30%,Same proliferation curve as fresh,Not reported,,,10.1002/term.1945,,,,,,,,,,
10% DMEM + 80% HS + 10% DMSO ,10%,1°C/min  to −80°C,82.50%,Not mentioned ,Not mentioned,"seed 6-well plate 24h; flow cytom (annexin V-FITC/PI, n=6), MTT prolif, oil red O/alizarin red OD diff (14/21 days), RT-PCR","10% PVP in DMEM yields ~70% viability (24h annexin V/PI), comparable to 10% DMSO+80% serum controls (~83%, ns), with low apoptosis/necrosis; extremes (1%/40% PVP) toxic. Serum addition marginal",10.1089=ten.tec.2009.0552,Adipose tissue derived stem cells ,,,,,,,,,
10% DMEM + 80% FCS + 10% DMSO ,10%,1°C/min  to −80°C,84.10%,Not mentioned ,Not mentioned,,,10.1089=ten.tec.2009.0552,,,,,,,,,,
1% PVP + 99% DMEM ,0%,1°C/min  to −80°C,5.70%,Not mentioned ,Not mentioned,,,10.1089=ten.tec.2009.0552,,,,,,,,,,
5% PVP + 95% DMEM,0%,1°C/min  to −80°C,49.30%,Not mentioned ,Not mentioned,,,10.1089=ten.tec.2009.0552,,,,,,,,,,
10% PVP + 90% DMEM,0%,1°C/min  to −80°C,69.70%,Not mentioned ,Not mentioned,,,10.1089=ten.tec.2009.0552,,,,,,,,,,
20% PVP + 80% DMEM,0%,1°C/min  to −80°C,55.50%,Not mentioned ,Not mentioned,,,10.1089=ten.tec.2009.0552,,,,,,,,,,
40% PVP + 60% DMEM ,0%,1°C/min  to −80°C,4.60%,Not mentioned ,Not mentioned,,,10.1089=ten.tec.2009.0552,,,,,,,,,,
5% PVP + 85% DMEM + 10% HS,0%,1°C/min  to −80°C,53.20%,Not mentioned ,Not mentioned,,,10.1089=ten.tec.2009.0552,,,,,,,,,,
10% PVP + 80% DMEM + 10% HS,0%,1°C/min  to −80°C,72.10%,Not mentioned ,Not mentioned,,,10.1089=ten.tec.2009.0552,,,,,,,,,,
20% PVP + 70% DMEM + 10% HS ,0%,1°C/min  to −80°C,61.80%,Not mentioned ,Not mentioned,,,10.1089=ten.tec.2009.0552,,,,,,,,,,
5% PVP + 85% DMEM + 10% FCS,0%,1°C/min  to −80°C,55.40%,Not mentioned ,Not mentioned,,,10.1089=ten.tec.2009.0552,,,,,,,,,,
10% PVP + 80% DMEM + 10% FCS,0%,1°C/min  to −80°C,69.20%,Not mentioned ,Not mentioned,,,10.1089=ten.tec.2009.0552,,,,,,,,,,
20% PVP + 70% DMEM + 10% FCS,0%,1°C/min  to −80°C,64.30%,Not mentioned ,Not mentioned,,,10.1089=ten.tec.2009.0552,,,,,,,,,,
10% PVP + 50% DMEM + 40% FCS,0%,1°C/min  to −80°C,70.50%,Not mentioned ,Not mentioned,,,10.1089=ten.tec.2009.0552,,,,,,,,,,
10% PVP + 10% DMEM + 80% FCS ,0%,1°C/min  to −80°C,72.50%,Not mentioned ,Not mentioned,,,10.1089=ten.tec.2009.0552,,,,,,,,,,
0.5M ethylene glycol (EG) in Mesencult complete medium,0%,"~1°C/min to –85°C by using a dump-freeze method, then stored at –85°C or –196°C in liquid nitrogen",65%,Not mentioned ,Not mentioned ,DPSC cell lines from four separate  cultures were used.  Viability was determined by trypan blue exclusion after thawing.,The freezing effect of 1.0M and 1.5M Me₂SO was significantly better than that of EG or PG at the same concentration. There was no significant difference between the two concentrations.,https://doi.org/10.1016/j.cryobiol.2009.06.005,DPSC,,,,,,,,,
1M ethylene glycol (EG) in Mesencult complete medium,0%,"~1°C/min to –85°C by using a dump-freeze method, then stored at –85°C or –196°C in liquid nitrogen",75%,Not mentioned ,Not mentioned ,,,https://doi.org/10.1016/j.cryobiol.2009.06.005,,,,,,,,,,
1.5M ethylene glycol (EG) in Mesencult complete medium,0%,"~1°C/min to –85°C by using a dump-freeze method, then stored at –85°C or –196°C in liquid nitrogen",77%,Not mentioned ,Not mentioned ,,,https://doi.org/10.1016/j.cryobiol.2009.06.005,,,,,,,,,,
"o.5M propylene glycol in in Mesencult complete medium
(1,2 propane diol; PG)",0%,"~1°C/min to –85°C by using a dump-freeze method, then stored at –85°C or –196°C in liquid nitrogen",43%,Not mentioned ,Not mentioned ,,,https://doi.org/10.1016/j.cryobiol.2009.06.005,,,,,,,,,,
"1M propylene glycol in in Mesencult complete medium
",0%,"~1°C/min to –85°C by using a dump-freeze method, then stored at –85°C or –196°C in liquid nitrogen",68%,Not mentioned ,Not mentioned ,,,https://doi.org/10.1016/j.cryobiol.2009.06.005,,,,,,,,,,
"1.5M propylene glycol in in Mesencult complete medium
",0%,"~1°C/min to –85°C by using a dump-freeze method, then stored at –85°C or –196°C in liquid nitrogen",67%,Not mentioned ,Not mentioned ,,,https://doi.org/10.1016/j.cryobiol.2009.06.005,,,,,,,,,,
0.5M DMSO in Mesencult complete medium,10%,"~1°C/min to –85°C by using a dump-freeze method, then stored at –85°C or –196°C in liquid nitrogen",74%,Not mentioned ,Not mentioned ,,,https://doi.org/10.1016/j.cryobiol.2009.06.005,,,,,,,,,,
1M DMSO in Mesencult complete medium,10%,"~1°C/min to –85°C by using a dump-freeze method, then stored at –85°C or –196°C in liquid nitrogen",90.6% ± 8.9%,Not mentioned ,Not mentioned ,,,https://doi.org/10.1016/j.cryobiol.2009.06.005,,,,,,,,,,
1.5M DMSO in Mesencult complete medium,10%,"~1°C/min to –85°C by using a dump-freeze method, then stored at –85°C or –196°C in liquid nitrogen",91.0% ± 8.1%,Not mentioned ,Not mentioned ,,,https://doi.org/10.1016/j.cryobiol.2009.06.005,,,,,,,,,,
PM-1( preadipocyte medium) + 10% DMSO,10%,1°C/min  to −80°C,95%,Not mentioned ,Not mentioned ,"trypan blue for viablity test,Von Kossa’s method for checking differentiation ",High viability and relatively low  proliferation and lose osteogenic differentiation ability,https://doi.org/10.3727/096368911X605556,,,,,,,,,,
"DMEM/Ham’s F-12( (1:1,; Dulbecco’s modified Eagle medium: Nutrient Mixture F-12) medium (serum free) + 10% DMSO, 0.1 mol/L maltose, and
1% sericin",10%,1°C/min  to −80°C,95%,Not mentioned ,Not mentioned ,,High viability and relatively higher  proliferation and lose  osteogenic differentiation ability,https://doi.org/10.3727/096368911X605556,,,,,,,,,,
DMEM + 80% HS + 10% DMSO,10%,"~1.1°C/min to  –40°C then 0.7°C/min to  –50°C,  then 0.3°C/min  and then 0.1°C/min to  –80°C",82.5 (±8.3) %,Not mentioned ,Not mentioned ,"The viability tested was conducted by quantitative flow cytometry annexin V-FITC-negative and PI-negative; annexin V− and PI− , Oil Red O staining and Alizarin Red staining for checking adipogenic differentiation and osteogenic differentiation respectively.","The absence of DMSO (with MC) significantly increased apoptosis and necrosis of ASC.ASCs can be frozen in serum-free DMEM containing at minimum 2% DMSO to maintain their viability and adipogenic and osteogenic differentiation capacity after thawing, providing a feasible solution for their clinical application.",https://doi.org/10.1089/scd.2009.0173,,,,,,,,,,
DMEM + 80% FCS + 10% DMSO,10%,"~1.1°C/min to  –40°C then 0.7°C/min to  –50°C,  then 0.3°C/min  and then 0.1°C/min to  –80°C",84.1 (±7.7)%,Not mentioned ,Not mentioned ,,,https://doi.org/10.1089/scd.2009.0173,,,,,,,,,,
DMEM ,0%,"~1.1°C/min to  –40°C then 0.7°C/min to  –50°C,  then 0.3°C/min  and then 0.1°C/min to  –80°C",25.3% ± 5.7%,Not mentioned ,Not mentioned ,,,https://doi.org/10.1089/scd.2009.0173,,,,,,,,,,
DMEM + 2% DMSO,2%,"~1.1°C/min to  –40°C then 0.7°C/min to  –50°C,  then 0.3°C/min  and then 0.1°C/min to  –80°C", 83.8% ± 5.3%,Not mentioned ,Not mentioned ,,,https://doi.org/10.1089/scd.2009.0173,,,,,,,,,,
DMEM + 4% DMSO,4%,"~1.1°C/min to  –40°C then 0.7°C/min to  –50°C,  then 0.3°C/min  and then 0.1°C/min to  –80°C",80.6% ±3.1%,Not mentioned ,Not mentioned ,,,https://doi.org/10.1089/scd.2009.0173,,,,,,,,,,
DMEM + 6% DMSO,6%,"~1.1°C/min to  –40°C then 0.7°C/min to  –50°C,  then 0.3°C/min  and then 0.1°C/min to  –80°C",86.0% ± 4.6%,Not mentioned ,Not mentioned ,,,https://doi.org/10.1089/scd.2009.0173,,,,,,,,,,
DMEM + 8% DMSO,8%,"~1.1°C/min to  –40°C then 0.7°C/min to  –50°C,  then 0.3°C/min  and then 0.1°C/min to  –80°C",85.6% ± 2.8%,Not mentioned ,Not mentioned ,,,https://doi.org/10.1089/scd.2009.0173,,,,,,,,,,
DMEM + 10% DMSO,10%,"~1.1°C/min to  –40°C then 0.7°C/min to  –50°C,  then 0.3°C/min  and then 0.1°C/min to  –80°C",87.9% ± 2.9%,Not mentioned ,Not mentioned ,,,https://doi.org/10.1089/scd.2009.0173,,,,,,,,,,
DMEM + 1% MC,0%,"~1.1°C/min to  –40°C then 0.7°C/min to  –50°C,  then 0.3°C/min  and then 0.1°C/min to  –80°C",46.8% ± 7.6%,Not mentioned ,Not mentioned ,,,https://doi.org/10.1089/scd.2009.0173,,,,,,,,,,
DMEM + 1% MC + 10% HS,0%,"~1.1°C/min to  –40°C then 0.7°C/min to  –50°C,  then 0.3°C/min  and then 0.1°C/min to  –80°C",40.0% ± 8%,Not mentioned ,Not mentioned ,,,https://doi.org/10.1089/scd.2009.0173,,,,,,,,,,
DMEM + 1% MC + 10% FCS,0%,"~1.1°C/min to  –40°C then 0.7°C/min to  –50°C,  then 0.3°C/min  and then 0.1°C/min to  –80°C",40.0% ± 8%,Not mentioned ,Not mentioned ,,,https://doi.org/10.1089/scd.2009.0173,,,,,,,,,,
DMEM + 1% MC + 10% DMSO,10%,"~1.1°C/min to  –40°C then 0.7°C/min to  –50°C,  then 0.3°C/min  and then 0.1°C/min to  –80°C",79.8% ± 2.8%,Not mentioned ,Not mentioned ,,,https://doi.org/10.1089/scd.2009.0173,,,,,,,,,,
10% DMSO  in α-MEM,10%,1°C/min  to −80°C and then stored in a liquid nitrogen tank,82.7 ± 3.7%,Not mentioned ,Not mentioned ,"The viability was tested by FACSCalibur flow cytometer using the Annexin V-fluorescein isothiocyanate (FITC) apoptosis. AlamarBlue assay and calcein AM assay were used to check Cell metabolic activity and proliferation and Cell morphology respectively. Alkaline phosphatase (ALP) expression, Oil Red O and toluidine blue staining for confirm the differentiation ability of Osteogenic differentiation, and adipogenic differentiation chondrogenic differentiation.","With DMSO as the sole permeating CPA, the paper found that the minimum DMSO concentration is around 5% (v/v) to achieve [ 73% cell survival. DMSO can be replaced with another permeating CPA, such as 1,2-propanediol although the cell survival is slightly lower. FBS can be replaced with albumin and 2% (w/v) albumin in CPA solution can significantly enhance the cell survival.",https://doi.org/10.1002/btpr.464,,,,,,,,,,
10% DMSO + 10% FBS in α-MEM,10%,1°C/min  to −80°C and then stored in a liquid nitrogen tank,83.8 ± 2.9%,Not mentioned ,Not mentioned ,,,https://doi.org/10.1002/btpr.464,,,,,,,,,,
10% DMSO + 90% FBS in α-MEM,10%,1°C/min  to −80°C and then stored in a liquid nitrogen tank,90.2 ± 1.4%,Not mentioned ,Not mentioned ,,,https://doi.org/10.1002/btpr.464,,,,,,,,,,
7.5% DMSO + 2.5% PEG in α-MEM,7.50%,1°C/min  to −80°C and then stored in a liquid nitrogen tank,72%,Not mentioned ,Not mentioned ,,,https://doi.org/10.1002/btpr.464,,,,,,,,,,
7.5% DMSO + 2.5% PEG + 2% BSA in α-MEM,7.50%,1°C/min  to −80°C and then stored in a liquid nitrogen tank,82.9 ± 4.3%,Not mentioned ,Not mentioned ,,,https://doi.org/10.1002/btpr.464,,,,,,,,,,
5% DMSO + 5% PEG in α-MEM,5%,1°C/min  to −80°C and then stored in a liquid nitrogen tank,70%,Not mentioned ,Not mentioned ,,,https://doi.org/10.1002/btpr.464,,,,,,,,,,
5% DMSO + 5% PEG + 2% BSA  in α-MEM,5%,1°C/min  to −80°C and then stored in a liquid nitrogen tank,80%,Not mentioned ,Not mentioned ,,,https://doi.org/10.1002/btpr.464,,,,,,,,,,
5% DMSO + 2% PEG + 3% trehalose  in α-MEM,5%,1°C/min  to −80°C and then stored in a liquid nitrogen tank,56%,Not mentioned ,Not mentioned ,,,https://doi.org/10.1002/btpr.464,,,,,,,,,,
5% DMSO + 2% PEG + 3% trehalose + 2% BSA in α-MEM,5%,1°C/min  to −80°C and then stored in a liquid nitrogen tank,65%,Not mentioned ,Not mentioned ,,,https://doi.org/10.1002/btpr.464,,,,,,,,,,
2.5% DMSO + 7.5% PEG  in α-MEM,2.50%,1°C/min  to −80°C and then stored in a liquid nitrogen tank,32%,Not mentioned ,Not mentioned ,,,https://doi.org/10.1002/btpr.464,,,,,,,,,,
2.5% DMSO + 7.5% PEG + 2% BSA  in α-MEM,2.50%,1°C/min  to −80°C and then stored in a liquid nitrogen tank,38%,Not mentioned ,Not mentioned ,,,https://doi.org/10.1002/btpr.464,,,,,,,,,,
"10% 1,2-propanediol + 2% BSA  in α-MEM",0%,1°C/min  to −80°C and then stored in a liquid nitrogen tank,68%,Not mentioned ,Not mentioned ,,,https://doi.org/10.1002/btpr.464,,,,,,,,,,
"7.5% 1,2-propanediol + 2.5% PEG + 2% BSA in α-MEM",0%,1°C/min  to −80°C and then stored in a liquid nitrogen tank,73%,Not mentioned ,Not mentioned ,,,https://doi.org/10.1002/btpr.464,,,,,,,,,,
"Sucrose 150 mM, Glycerol 342mM, Creatine 12.5 mM (SGC)",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",60%,Not mentioned,Not mentioned ,,,https://doi.org/10.1089/TEN.TEC.2016.0288,,,,,,,,,,
"Glucose 150 mM, Glycerol 342mM, Creatine 12.5 mM (GGC)",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",40%,Not mentioned,Not mentioned ,,,https://doi.org/10.1089/TEN.TEC.2016.0288,,,,,,,,,,
"Sucrose 150 mM, Glycerol 684 mM, Creatine 25 mM (SGC-A)",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",70%,82 ± 7%,Not mentioned ,,,https://doi.org/10.1089/TEN.TEC.2016.0288,,,,,,,,,,
"Sucrose 300 mM, Glycerol 684 mM, Creatine 12.5 mM (SGC-B)",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",0%,71 ± 5%,Not mentioned ,,,https://doi.org/10.1089/TEN.TEC.2016.0288,,,,,,,,,,
"Sucrose 75 mM, Mannitol 63 mM, Creatine 13 mM",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,47%,Not mentioned ,,,https://doi.org/10.1089/TEN.TEC.2016.0288,,,,,,,,,,
"Sucrose 225 mM, Mannitol 188 mM, Creatine 3 mM",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,43%,Not mentioned ,,,https://doi.org/10.1089/TEN.TEC.2016.0288,,,,,,,,,,
"Sucrose 225 mM, Mannitol 125 mM, Creatine 0 mM",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,29%,Not mentioned ,,,https://doi.org/10.1089/TEN.TEC.2016.0288,,,,,,,,,,
"Sucrose 0 mM, Mannitol 63 mM, Creatine 25 mM",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,54%,Not mentioned ,,,https://doi.org/10.1089/TEN.TEC.2016.0288,,,,,,,,,,
"Sucrose 75 mM, Mannitol 125 mM, Creatine 3 mM",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,48%,Not mentioned ,,,https://doi.org/10.1089/TEN.TEC.2016.0288,,,,,,,,,,
"Sucrose 30 mM, Mannitol 25 mM, Creatine 25 mM",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,31%,Not mentioned ,,,https://doi.org/10.1089/TEN.TEC.2016.0288,,,,,,,,,,
"Sucrose 225 mM, Mannitol 188 mM, Creatine 3 mM",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,46%,Not mentioned ,,,https://doi.org/10.1089/TEN.TEC.2016.0288,,,,,,,,,,
"Sucrose 150 mM, Mannitol 63 mM, Creatine 6 mM",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,41%,Not mentioned ,,,https://doi.org/10.1089/TEN.TEC.2016.0288,,,,,,,,,,
"Sucrose 0 mM, Mannitol 25 mM, Creatine 25 mM",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,52%,Not mentioned ,,,https://doi.org/10.1089/TEN.TEC.2016.0288,,,,,,,,,,
"Sucrose 75 mM, Mannitol 63 mM, Creatine 19 mM",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,38%,Not mentioned ,,,https://doi.org/10.1089/TEN.TEC.2016.0288,,,,,,,,,,
"Sucrose 30 mM, Mannitol 0 mM, Creatine 25 mM",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,29%,Not mentioned ,,,https://doi.org/10.1089/TEN.TEC.2016.0288,,,,,,,,,,
"Sucrose 50 mM, Mannitol 63 mM, Creatine 13 mM",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,37%,Not mentioned ,,,https://doi.org/10.1089/TEN.TEC.2016.0288,,,,,,,,,,
"Sucrose 150 mM, Mannitol 63 mM, Creatine 0 mM",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,22%,Not mentioned ,,,https://doi.org/10.1089/TEN.TEC.2016.0288,,,,,,,,,,
"Sucrose 30 mM, Mannitol 25 mM, Creatine 25 mM",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,33%,Not mentioned ,,,https://doi.org/10.1089/TEN.TEC.2016.0288,,,,,,,,,,
"Sucrose 300 mM, Mannitol 250 mM, Creatine 3 mM",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,9%,Not mentioned ,,,https://doi.org/10.1089/TEN.TEC.2016.0288,,,,,,,,,,
"Sucrose 150 mM, Mannitol 188 mM, Creatine 3 mM",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,49%,Not mentioned ,,,https://doi.org/10.1089/TEN.TEC.2016.0288,,,,,,,,,,
"Sucrose 30 mM, Mannitol 25 mM, Creatine 19 mM",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,20%,Not mentioned ,,,https://doi.org/10.1089/TEN.TEC.2016.0288,,,,,,,,,,
"Sucrose 150 mM, Mannitol 25 mM, Creatine 6 mM",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,33%,Not mentioned ,,,https://doi.org/10.1089/TEN.TEC.2016.0288,,,,,,,,,,
"Sucrose 0 mM, Mannitol 125 mM, Creatine 13 mM",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,32%,Not mentioned ,,,https://doi.org/10.1089/TEN.TEC.2016.0288,,,,,,,,,,
"Sucrose 150 mM, Mannitol 63 mM, Creatine 6 mM",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,34%,Not mentioned ,,,https://doi.org/10.1089/TEN.TEC.2016.0288,,,,,,,,,,
"Sucrose 30 mM, Mannitol 63 mM, Creatine 25 mM",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,47%,Not mentioned ,,,https://doi.org/10.1089/TEN.TEC.2016.0288,,,,,,,,,,
"Sucrose 30 mM, Mannitol 125 mM, Creatine 19 mM",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,31%,Not mentioned ,,,https://doi.org/10.1089/TEN.TEC.2016.0288,,,,,,,,,,
"Sucrose 300 mM, Mannitol 250 mM, Creatine 0 mM",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,15%,Not mentioned ,,,https://doi.org/10.1089/TEN.TEC.2016.0288,,,,,,,,,,
"Sucrose 150 mM, Mannitol 188 mM, Creatine 19 mM",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,26%,Not mentioned ,,,https://doi.org/10.1089/TEN.TEC.2016.0288,,,,,,,,,,
